county,rep_unit,total,richardson,leiber,zuelke,SCATTERING,assembly_district,senate_district,congress_district
BAYFIELD,Town of BAYVIEW Ward 1,333,197,132,4,0,74,25,7
BAYFIELD,Town of BELL Ward 1,250,167,76,7,0,74,25,7
BAYFIELD,Town of CABLE Ward 1,540,224,306,9,1,74,25,7
BAYFIELD,Town of CLOVER Ward 1,184,106,78,0,0,74,25,7
BAYFIELD,Town of DELTA Ward 1,229,105,121,3,0,74,25,7
BAYFIELD,Town of DRUMMOND Wards 1-2,311,163,146,2,0,74,25,7
BAYFIELD,Town of EILEEN Wards 1-2,391,169,214,8,0,74,25,7
BAYFIELD,Town of GRAND VIEW Ward 1,315,149,160,6,0,74,25,7
BAYFIELD,Town of HUGHES Ward 1,264,119,141,4,0,74,25,7
BAYFIELD,Town of IRON RIVER Wards 1-2,662,307,339,16,0,74,25,7
BAYFIELD,Town of KELLY Ward 1,213,75,134,4,0,74,25,7
BAYFIELD,Town of KEYSTONE Ward 1,205,82,118,5,0,74,25,7
BAYFIELD,Town of LINCOLN Ward 1,171,71,96,4,0,74,25,7
BAYFIELD,Town of MASON Ward 1,151,61,84,6,0,74,25,7
BAYFIELD,Town of NAMAKAGON Ward 1,262,103,158,1,0,74,25,7
BAYFIELD,Town of ORIENTA Ward 1,92,40,47,5,0,74,25,7
BAYFIELD,Town of OULU Ward 1,336,149,180,7,0,74,25,7
BAYFIELD,Town of PILSEN Ward 1,137,75,57,5,0,74,25,7
BAYFIELD,Town of PORT WING Ward 1,254,142,102,10,0,74,25,7
BAYFIELD,Town of RUSSELL Wards 1-3,467,394,68,5,0,74,25,7
BAYFIELD,Town of TRIPP Ward 1,116,56,59,1,0,74,25,7
BAYFIELD,Town of WASHBURN Wards 1-2,356,241,109,6,0,74,25,7
BAYFIELD,Village of MASON Ward 1,39,14,24,1,0,74,25,7
BAYFIELD,CITY OF ASHLAND Ward 22,0,0,0,0,0,74,25,7
BAYFIELD,City of BAYFIELD Ward 1,329,277,49,3,0,74,25,7
BAYFIELD,City of WASHBURN Wards 1-5,1071,799,262,10,0,74,25,7
BROWN,Town of EATON Wards 1-2,908,270,614,24,0,1,1,8
BROWN,Town of GLENMORE Wards 1-2,559,149,399,11,0,88,30,8
BROWN,Town of GREEN BAY Wards 1-3,1197,323,852,22,0,1,1,8
BROWN,Town of HOLLAND Wards 1-2,816,211,576,28,1,2,1,8
BROWN,Town of HUMBOLDT Wards 1-2,702,176,507,19,0,1,1,8
BROWN,Town of LAWRENCE Wards 1-7,3508,1225,2198,84,1,2,1,8
BROWN,Town of LEDGEVIEW Wards 1-11,4410,1750,2558,102,0,88,30,8
BROWN,Town of MORRISON Wards 1-2,784,160,594,30,0,2,1,8
BROWN,Town of NEW DENMARK Wards 1-3,859,256,584,19,0,88,30,8
BROWN,Town of PITTSFIELD Wards 1-3,1555,419,1106,30,0,6,2,8
BROWN,Town of ROCKLAND Wards 1-3,1039,298,718,23,0,88,30,8
BROWN,Town of SCOTT Wards 1-4,1962,744,1181,36,1,1,1,8
BROWN,Town of WRIGHTSTOWN Wards 1-4,1231,328,867,36,0,2,1,8
BROWN,Village of ALLOUEZ Wards 1-2,1338,772,527,38,1,4,2,8
BROWN,Village of ALLOUEZ Wards 3-4,1813,966,814,31,2,4,2,8
BROWN,Village of ALLOUEZ Wards 5-6,1929,932,951,45,1,4,2,8
BROWN,Village of ALLOUEZ Wards 7-9,1603,810,757,35,1,4,2,8
BROWN,Village of ASHWAUBENON Wards 1-2,1067,498,537,32,0,4,2,8
BROWN,Village of ASHWAUBENON Wards 3-4,1005,467,512,26,0,4,2,8
BROWN,Village of ASHWAUBENON Wards 5-6,1329,572,722,32,3,4,2,8
BROWN,Village of ASHWAUBENON Wards 7-8,1448,620,790,37,1,4,2,8
BROWN,Village of ASHWAUBENON Ward 9,786,342,431,13,0,4,2,8
BROWN,Village of ASHWAUBENON Ward 10,784,367,398,19,0,5,2,8
BROWN,Village of ASHWAUBENON Wards 11-12,1556,648,880,28,0,5,2,8
BROWN,Village of BELLEVUE Wards 1-6,3364,1512,1780,72,0,88,30,8
BROWN,Village of BELLEVUE Wards 7-10,3693,1534,2080,79,0,88,30,8
BROWN,"Village of DENMARK Wards 1,2,3",971,334,610,27,0,88,30,8
BROWN,Village of HOBART Wards 1-7,3243,1240,1954,49,0,5,2,8
BROWN,Village of HOBART Wards 8-11,1474,620,802,51,1,5,2,8
BROWN,"Village of HOWARD Wards 1-2,9-12,14",3401,1398,1922,79,2,4,2,8
BROWN,"Village of HOWARD Wards 3-4,6",1113,472,604,37,0,89,30,8
BROWN,"Village of HOWARD Wards 5,21",621,254,352,14,1,4,2,8
BROWN,"Village of HOWARD Wards 7-8,18-19",1975,782,1142,51,0,4,2,8
BROWN,Village of HOWARD Ward 13,608,249,343,16,0,89,30,8
BROWN,Village of HOWARD Wards 15-17,2006,705,1258,42,1,4,2,8
BROWN,"Village of PULASKI Wards 1-3,6",1490,496,944,50,0,6,2,8
BROWN,Village of SUAMICO Wards 1-3,2063,670,1347,46,0,89,30,8
BROWN,Village of SUAMICO Wards 4-6,2688,830,1789,67,2,89,30,8
BROWN,Village of SUAMICO Wards 7-9,2074,675,1364,35,0,89,30,8
BROWN,Village of WRIGHTSTOWN Wards 1-3,1325,421,857,47,0,2,1,8
BROWN,City of DE PERE Wards 1-5,3360,1771,1526,63,0,2,1,8
BROWN,City of DE PERE Wards 6-9,2791,1380,1347,63,1,2,1,8
BROWN,City of DE PERE Wards 10-16,1996,969,968,57,2,2,1,8
BROWN,City of DE PERE Wards 17-23,3027,1329,1612,85,1,2,1,8
BROWN,City of GREEN BAY Ward 1,10,3,7,0,0,1,1,8
BROWN,City of GREEN BAY Ward 2,1389,614,743,32,0,88,30,8
BROWN,City of GREEN BAY Ward 3,507,343,144,18,2,88,30,8
BROWN,City of GREEN BAY Ward 4A,6,4,2,0,0,90,30,8
BROWN,City of GREEN BAY Ward 4,944,431,495,17,1,88,30,8
BROWN,City of GREEN BAY Ward 5,786,328,442,16,0,88,30,8
BROWN,City of GREEN BAY Ward 6,1419,607,776,34,2,88,30,8
BROWN,City of GREEN BAY Ward 7,1504,706,767,30,1,88,30,8
BROWN,City of GREEN BAY Ward 8A,121,59,60,1,1,90,30,8
BROWN,City of GREEN BAY Ward 8,964,443,500,21,0,88,30,8
BROWN,City of GREEN BAY Ward 9,651,317,319,14,1,90,30,8
BROWN,City of GREEN BAY Ward 10A,225,119,102,4,0,90,30,8
BROWN,City of GREEN BAY Ward 10,470,248,204,18,0,88,30,8
BROWN,City of GREEN BAY Ward 11A,8,6,1,1,0,90,30,8
BROWN,City of GREEN BAY Ward 11,659,336,303,20,0,88,30,8
BROWN,City of GREEN BAY Ward 12,336,184,138,14,0,88,30,8
BROWN,City of GREEN BAY Ward 13,632,322,293,16,1,88,30,8
BROWN,City of GREEN BAY Ward 14A,0,0,0,0,0,88,30,8
BROWN,City of GREEN BAY Ward 14,919,563,320,36,0,90,30,8
BROWN,City of GREEN BAY Ward 15,1082,729,321,29,3,90,30,8
BROWN,City of GREEN BAY Ward 16,936,470,451,13,2,90,30,8
BROWN,City of GREEN BAY Ward 17,473,277,179,17,0,90,30,8
BROWN,City of GREEN BAY Ward 18,570,352,203,15,0,90,30,8
BROWN,City of GREEN BAY Ward 19A,8,3,4,1,0,88,30,8
BROWN,City of GREEN BAY Ward 19,558,328,209,20,1,90,30,8
BROWN,City of GREEN BAY Ward 20A,231,142,83,4,2,88,30,8
BROWN,City of GREEN BAY Ward 20,515,291,209,14,1,90,30,8
BROWN,City of GREEN BAY Ward 21,511,273,217,21,0,90,30,8
BROWN,City of GREEN BAY Ward 22,403,246,143,14,0,90,30,8
BROWN,City of GREEN BAY Ward 23,107,70,36,1,0,90,30,8
BROWN,City of GREEN BAY Ward 24,157,113,40,4,0,90,30,8
BROWN,City of GREEN BAY Ward 25,442,283,140,19,0,90,30,8
BROWN,City of GREEN BAY Ward 26,621,338,256,26,1,90,30,8
BROWN,City of GREEN BAY Ward 27,569,376,164,28,1,90,30,8
BROWN,City of GREEN BAY Ward 28,718,386,312,20,0,90,30,8
BROWN,City of GREEN BAY Ward 29,356,201,136,19,0,90,30,8
BROWN,City of GREEN BAY Ward 30,340,174,153,13,0,90,30,8
BROWN,City of GREEN BAY Ward 31A,352,179,158,15,0,4,2,8
BROWN,City of GREEN BAY Ward 31,564,272,279,12,1,90,30,8
BROWN,City of GREEN BAY Ward 32A,157,79,75,3,0,90,30,8
BROWN,City of GREEN BAY Ward 32B,144,69,71,4,0,90,30,8
BROWN,City of GREEN BAY Ward 32,558,289,254,15,0,4,2,8
BROWN,City of GREEN BAY Ward 33,391,251,128,12,0,90,30,8
BROWN,City of GREEN BAY Ward 34,627,380,214,33,0,90,30,8
BROWN,City of GREEN BAY Ward 35,594,336,236,22,0,90,30,8
BROWN,City of GREEN BAY Ward 36,877,443,403,30,1,90,30,8
BROWN,City of GREEN BAY Ward 37,861,456,378,25,2,90,30,8
BROWN,City of GREEN BAY Ward 38,1051,599,425,27,0,90,30,8
BROWN,City of GREEN BAY Ward 39A,86,34,46,6,0,89,30,8
BROWN,City of GREEN BAY Ward 39,574,306,241,23,4,90,30,8
BROWN,City of GREEN BAY Ward 40,548,275,255,18,0,89,30,8
BROWN,City of GREEN BAY Ward 41,439,227,196,16,0,90,30,8
BROWN,City of GREEN BAY Ward 42A,95,44,48,3,0,90,30,8
BROWN,City of GREEN BAY Ward 42,1136,558,538,40,0,4,2,8
BROWN,City of GREEN BAY Ward 43,976,478,478,20,0,4,2,8
BROWN,City of GREEN BAY Ward 44,415,193,209,13,0,4,2,8
BROWN,City of GREEN BAY Ward 45,1401,599,771,30,1,4,2,8
BROWN,City of GREEN BAY Ward 46,962,512,426,22,2,4,2,8
BROWN,City of GREEN BAY Ward 47,1582,671,874,37,0,4,2,8
BUFFALO,Town of ALMA Ward 1,136,65,69,2,0,92,31,3
BUFFALO,Town of BELVIDERE Ward 1,240,81,154,5,0,92,31,3
BUFFALO,Town of BUFFALO Ward 1,388,162,214,12,0,92,31,3
BUFFALO,Town of CANTON Ward 1,144,54,88,2,0,92,31,3
BUFFALO,Town of CROSS Ward 1,182,55,123,4,0,92,31,3
BUFFALO,Town of DOVER Ward 1,183,73,102,8,0,92,31,3
BUFFALO,Town of GILMANTON Ward 1,197,67,122,8,0,92,31,3
BUFFALO,Town of GLENCOE Ward 1,187,59,125,3,0,92,31,3
BUFFALO,Town of LINCOLN Ward 1,95,32,59,4,0,92,31,3
BUFFALO,Town of MAXVILLE Ward 1,162,43,117,2,0,92,31,3
BUFFALO,Town of MILTON Ward 1,288,97,186,5,0,92,31,3
BUFFALO,Town of MODENA Ward 1,136,56,76,4,0,92,31,3
BUFFALO,Town of MONDOVI Ward 1,212,66,143,3,0,92,31,3
BUFFALO,Town of MONTANA Ward 1,109,33,72,4,0,92,31,3
BUFFALO,Town of NAPLES Ward 1,340,97,233,10,0,92,31,3
BUFFALO,Town of NELSON Ward 1,285,88,194,3,0,92,31,3
BUFFALO,Town of WAUMANDEE Ward 1,277,85,176,16,0,92,31,3
BUFFALO,Village of COCHRANE Ward 1,172,62,102,8,0,92,31,3
BUFFALO,Village of NELSON Ward 1,128,56,68,4,0,92,31,3
BUFFALO,City of ALMA Wards 1-2,365,174,185,6,0,92,31,3
BUFFALO,City of BUFFALO CITY Wards 1-2,485,217,254,14,0,92,31,3
BUFFALO,City of FOUNTAIN CITY Ward 1,353,167,176,10,0,92,31,3
BUFFALO,City of MONDOVI Wards 1-3,953,344,584,25,0,92,31,3
BURNETT,Town of ANDERSON Ward 1,199,46,151,2,0,73,25,7
BURNETT,Town of BLAINE Ward 1,138,37,98,3,0,73,25,7
BURNETT,Town of DANIELS Ward 1,346,100,241,5,0,73,25,7
BURNETT,Town of DEWEY Ward 1,238,71,161,6,0,73,25,7
BURNETT,Town of GRANTSBURG Wards 1-3,505,145,348,12,0,73,25,7
BURNETT,Town of JACKSON Wards 1-2,603,233,365,5,0,73,25,7
BURNETT,Town of LA FOLLETTE Wards 1-2,271,116,151,4,0,73,25,7
BURNETT,Town of LINCOLN Ward 1,161,31,127,3,0,73,25,7
BURNETT,Town of MEENON Wards 1-3,537,156,372,9,0,73,25,7
BURNETT,Town of OAKLAND Wards 1-2,602,256,333,13,0,73,25,7
BURNETT,Town of ROOSEVELT Ward 1,99,33,63,3,0,73,25,7
BURNETT,Town of RUSK Wards 1-2,215,81,128,6,0,73,25,7
BURNETT,Town of SAND LAKE Wards 1-2,271,115,147,9,0,73,25,7
BURNETT,Town of SCOTT Wards 1-2,393,153,233,7,0,73,25,7
BURNETT,Town of SIREN Wards 1-3,491,159,321,11,0,73,25,7
BURNETT,Town of SWISS Ward 1,386,168,212,6,0,73,25,7
BURNETT,Town of TRADE LAKE Wards 1-2,485,169,295,21,0,73,25,7
BURNETT,Town of UNION Ward 1,219,80,138,1,0,73,25,7
BURNETT,Town of WEBB LAKE Ward 1,278,101,172,5,0,73,25,7
BURNETT,Town of WEST MARSHLAND Ward 1,189,42,146,1,0,73,25,7
BURNETT,Town of WOOD RIVER Wards 1-3,473,122,339,12,0,73,25,7
BURNETT,"Village of GRANTSBURG Wards 1,2",520,176,333,11,0,73,25,7
BURNETT,Village of SIREN Wards 1-2,313,110,193,10,0,73,25,7
BURNETT,Village of WEBSTER Ward 1,235,90,141,4,0,73,25,7
CALUMET,Town of BRILLION Wards 1-2,776,188,568,20,0,3,1,8
CALUMET,Town of BROTHERTOWN Wards 1-2,746,154,581,11,0,59,20,6
CALUMET,Town of CHARLESTOWN Ward 1,408,94,308,6,0,25,9,8
CALUMET,Town of CHILTON Wards 1-3,627,128,480,19,0,59,20,8
CALUMET,Town of NEW HOLSTEIN Wards 1-2,747,179,557,11,0,59,20,6
CALUMET,Town of RANTOUL Ward 1,403,62,330,11,0,3,1,8
CALUMET,"Town of STOCKBRIDGE Wards 1,2",848,223,600,24,1,59,20,8
CALUMET,Town of WOODVILLE Ward 1,469,90,367,12,0,3,1,8
CALUMET,Village of HARRISON Wards 3-14,6023,2378,3526,119,0,3,1,8
CALUMET,Village of HILBERT Wards 1-2,477,103,361,13,0,3,1,8
CALUMET,Village of POTTER Ward 1,124,23,97,4,0,3,1,8
CALUMET,Village of SHERWOOD Wards 1-5,1829,673,1121,34,1,3,1,8
CALUMET,Village of STOCKBRIDGE Ward 1,370,96,260,13,1,59,20,8
CALUMET,CITY OF APPLETON Ward 13,948,488,430,30,0,3,1,8
CALUMET,CITY OF APPLETON Ward 14,342,187,143,12,0,3,1,8
CALUMET,CITY OF APPLETON Ward 15,308,161,138,8,1,3,1,8
CALUMET,CITY OF APPLETON Ward 25,870,435,409,26,0,3,1,8
CALUMET,CITY OF APPLETON Ward 44,934,425,470,39,0,3,1,8
CALUMET,CITY OF APPLETON Ward 45,871,448,411,12,0,3,1,8
CALUMET,CITY OF APPLETON Ward 46,405,206,190,9,0,3,1,8
CALUMET,CITY OF APPLETON Ward 47,0,0,0,0,0,3,1,8
CALUMET,City of BRILLION Wards 1-6,1320,426,865,29,0,3,1,8
CALUMET,City of CHILTON Wards 1-5,1566,515,1012,39,0,25,9,8
CALUMET,CITY OF KAUKAUNA Ward 12,0,0,0,0,0,3,1,8
CALUMET,CITY OF KIEL Ward 7,152,55,94,3,0,27,9,6
CALUMET,CITY OF MENASHA Wards 14-16,1590,710,842,37,1,3,1,8
CALUMET,City of NEW HOLSTEIN Wards 1-5,1394,518,833,43,0,59,20,6
CHIPPEWA,Town of ANSON Wards 1-3,1257,430,787,40,0,67,23,7
CHIPPEWA,Town of ARTHUR Ward 1,332,85,243,4,0,67,23,7
CHIPPEWA,Town of AUBURN Ward 1,358,95,250,13,0,67,23,7
CHIPPEWA,Town of BIRCH CREEK Ward 1,289,101,185,3,0,67,23,7
CHIPPEWA,Town of BLOOMER Wards 1-2,477,123,346,7,1,67,23,7
CHIPPEWA,Town of CLEVELAND Ward 1,453,142,295,16,0,67,23,7
CHIPPEWA,Town of COLBURN Ward 1,375,94,272,9,0,67,23,7
CHIPPEWA,Town of COOKS VALLEY Ward 1,342,86,246,10,0,67,23,7
CHIPPEWA,Town of DELMAR Wards 1-2,414,125,279,10,0,67,23,7
CHIPPEWA,Town of EAGLE POINT Wards 1-5,1737,631,1055,49,2,67,23,7
CHIPPEWA,Town of EAGLE POINT Ward 5A,0,0,0,0,0,67,23,3
CHIPPEWA,Town of EDSON Wards 1-2,387,116,259,11,1,68,23,3
CHIPPEWA,Town of ESTELLA Wards 1-2,208,46,156,5,1,67,23,7
CHIPPEWA,Town of GOETZ Ward 1,356,125,219,12,0,67,23,7
CHIPPEWA,Town of HALLIE Ward 1,101,46,52,3,0,67,23,3
CHIPPEWA,Town of HOWARD Ward 1,391,137,241,13,0,67,23,3
CHIPPEWA,"Town of LAFAYETTE Wards 1,2,3,4,5,6,7,8",3359,1359,1922,78,0,68,23,3
CHIPPEWA,Town of LAKE HOLCOMBE Wards 1-2,558,139,417,2,0,67,23,7
CHIPPEWA,Town of RUBY Ward 1,202,45,155,2,0,67,23,7
CHIPPEWA,Town of SAMPSON Ward 1,492,141,346,5,0,67,23,7
CHIPPEWA,Town of SIGEL Wards 1-2,505,170,319,15,1,68,23,7
CHIPPEWA,Town of TILDEN Wards 1-3,812,277,517,18,0,67,23,7
CHIPPEWA,Town of TILDEN Ward 4,0,0,0,0,0,67,23,3
CHIPPEWA,Town of WHEATON Wards 1-3,1423,526,859,38,0,67,23,3
CHIPPEWA,Town of WOODMOHR Wards 1-2,516,148,360,8,0,67,23,7
CHIPPEWA,Village of BOYD Ward 1,223,87,125,11,0,68,23,7
CHIPPEWA,"Village of CADOTT Wards 1,2",510,206,286,18,0,68,23,7
CHIPPEWA,Village of LAKE HALLIE Wards 1-10,3046,1261,1691,93,1,67,23,3
CHIPPEWA,"Village of NEW AUBURN Wards 1,3",191,47,138,6,0,67,23,7
CHIPPEWA,City of BLOOMER Wards 1-4,1603,520,1039,44,0,67,23,7
CHIPPEWA,City of CHIPPEWA FALLS Wards 1-2,728,352,351,25,0,67,23,3
CHIPPEWA,City of CHIPPEWA FALLS Ward 1A,0,0,0,0,0,67,23,7
CHIPPEWA,"City of CHIPPEWA FALLS Wards 3,4,15",935,461,451,23,0,67,23,3
CHIPPEWA,City of CHIPPEWA FALLS Wards 5-6,980,499,454,27,0,67,23,3
CHIPPEWA,City of CHIPPEWA FALLS Wards 8-7,805,440,337,28,0,67,23,3
CHIPPEWA,City of CHIPPEWA FALLS Wards 9-10,606,308,272,26,0,67,23,3
CHIPPEWA,City of CHIPPEWA FALLS Ward 10A,0,0,0,0,0,67,23,7
CHIPPEWA,City of CHIPPEWA FALLS Wards 11-12,725,345,362,18,0,67,23,3
CHIPPEWA,City of CHIPPEWA FALLS Wards 13-14,778,364,401,13,0,67,23,3
CHIPPEWA,City of CORNELL Wards 1-4,556,191,349,16,0,67,23,7
CHIPPEWA,CITY OF EAU CLAIRE Ward 16,754,386,349,19,0,67,23,3
CHIPPEWA,CITY OF EAU CLAIRE Ward 40,0,0,0,0,0,67,23,3
CHIPPEWA,CITY OF EAU CLAIRE Ward 41,125,73,49,3,0,67,23,3
CHIPPEWA,CITY OF EAU CLAIRE Ward 64,0,0,0,0,0,67,23,3
CHIPPEWA,City of STANLEY Wards 1-6,739,263,448,28,0,68,23,7
CHIPPEWA,City of STANLEY Ward 9,0,0,0,0,0,67,23,7
CLARK,Town of BEAVER Ward 1,231,60,164,6,1,68,23,7
CLARK,Town of BUTLER Ward 1,48,12,35,1,0,68,23,7
CLARK,Town of COLBY Wards 1-3,240,51,186,3,0,69,23,7
CLARK,Town of DEWHURST Ward 1,195,59,133,3,0,69,23,7
CLARK,Town of EATON Wards 1-2,216,60,146,10,0,68,23,7
CLARK,Town of FOSTER Ward 1,60,20,38,2,0,68,23,7
CLARK,Town of FREMONT Wards 1-2,411,91,305,15,0,69,23,7
CLARK,Town of GRANT Ward 1,341,101,230,10,0,69,23,7
CLARK,Town of GREEN GROVE Wards 1-2,171,48,118,5,0,68,23,7
CLARK,Town of HENDREN Ward 1,180,64,110,6,0,68,23,7
CLARK,Town of HEWETT Wards 1-2,167,57,107,3,0,69,23,7
CLARK,Town of HIXON Wards 1-2,190,56,127,7,0,68,23,7
CLARK,Town of HOARD Wards 1-2,205,53,148,4,0,68,23,7
CLARK,Town of LEVIS Wards 1-2,230,63,160,7,0,69,23,7
CLARK,Town of LONGWOOD Wards 1-3,195,53,138,4,0,68,23,7
CLARK,Town of LOYAL Ward 1,241,41,191,9,0,69,23,7
CLARK,Town of LYNN Wards 1-2,241,61,173,7,0,69,23,7
CLARK,Town of MAYVILLE Wards 1-2,309,79,223,7,0,69,23,7
CLARK,Town of MEAD Ward 1,120,29,84,6,1,68,23,7
CLARK,Town of MENTOR Ward 1,223,63,154,6,0,68,23,7
CLARK,Town of PINE VALLEY Wards 1-2,554,164,374,16,0,69,23,7
CLARK,Town of RESEBURG Ward 1,147,52,93,2,0,68,23,7
CLARK,Town of SEIF Ward 1,111,32,69,10,0,68,23,7
CLARK,Town of SHERMAN Wards 1-2,256,50,201,5,0,69,23,7
CLARK,Town of SHERWOOD Ward 1,137,54,79,4,0,69,23,7
CLARK,Town of THORP Wards 1-2,258,59,189,9,1,68,23,7
CLARK,Town of UNITY Ward 1,262,68,189,5,0,69,23,7
CLARK,Town of WARNER Wards 1-2,198,58,135,5,0,68,23,7
CLARK,Town of WASHBURN Ward 1,130,26,96,8,0,69,23,7
CLARK,Town of WESTON Ward 1,287,77,199,11,0,68,23,7
CLARK,Town of WITHEE Wards 1-2,244,66,172,5,1,68,23,7
CLARK,Town of WORDEN Ward 1,205,61,143,1,0,68,23,7
CLARK,Town of YORK Wards 1-2,286,87,187,12,0,69,23,7
