county,rep_unit,assembly_district,senate_district,congress_district
MILWAUKEE,City of MILWAUKEE Ward 309,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 310,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 337,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 339,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 342,8,3,4
MILWAUKEE,City of MILWAUKEE Ward 210,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 211,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 212,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 213,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 214,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 215,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 216,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 221,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 222,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 248,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 249,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 250,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 251,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 252,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 253,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 271,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 272,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 273,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 274,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 275,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 276,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 277,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 278,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 279,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 294,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 295,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 311,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 312,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 338,9,3,4
MILWAUKEE,City of MILWAUKEE Ward 346,9,3,4
MILWAUKEE,"Village of WEST MILWAUKEE Wards 1-2,5",9,3,4
MILWAUKEE,"Village of WEST MILWAUKEE Wards 3-4,6",9,3,4
MILWAUKEE,"City of GLENDALE Wards 1,7",10,4,4
MILWAUKEE,"City of GLENDALE Wards 2,8",10,4,4
MILWAUKEE,"City of GLENDALE Wards 3,9",10,4,4
MILWAUKEE,"City of GLENDALE Wards 4,10",10,4,4
MILWAUKEE,"City of GLENDALE Wards 5,11",10,4,4
MILWAUKEE,"City of GLENDALE Wards 6,12",10,4,4
MILWAUKEE,City of MILWAUKEE Ward 108,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 109,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 110,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 111,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 112,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 113,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 114,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 115,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 116,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 117,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 118,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 119,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 120,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 121,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 136,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 330,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 55,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 56,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 57,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 58,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 59,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 60,10,4,4
MILWAUKEE,Village of SHOREWOOD Wards 1-4,10,4,4
MILWAUKEE,Village of SHOREWOOD Wards 5-8,10,4,4
MILWAUKEE,Village of SHOREWOOD Wards 9-12,10,4,4
MILWAUKEE,City of MILWAUKEE Ward 11,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 12,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 13,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 14,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 15,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 16,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 17,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 18,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 19,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 20,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 21,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 22,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 23,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 24,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 25,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 26,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 29,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 318,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 39,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 40,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 41,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 42,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 44,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 45,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 46,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 47,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 48,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 49,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 50,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 51,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 52,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 53,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 54,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 9,11,4,4
MILWAUKEE,City of MILWAUKEE Ward 1,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 10,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 2,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 27,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 28,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 3,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 30,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 31,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 315,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 32,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 33,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 34,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 35,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 36,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 37,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 38,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 4,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 5,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 6,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 7,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 75,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 76,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 77,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 78,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 8,12,4,4
MILWAUKEE,City of MILWAUKEE Ward 82,12,4,4
MILWAUKEE,City of WAUWATOSA Ward 24A,12,4,4
MILWAUKEE,Village of BROWN DEER Ward 3,12,4,4
MILWAUKEE,City of WAUWATOSA Ward 19,13,5,4
MILWAUKEE,City of WAUWATOSA Ward 20A,13,5,4
MILWAUKEE,City of WAUWATOSA Ward 21B,13,5,4
MILWAUKEE,City of WAUWATOSA Ward 9B,13,5,4
WAUKESHA,City of BROOKFIELD Ward 1,13,5,5
WAUKESHA,City of BROOKFIELD Ward 10,13,5,5
WAUKESHA,City of BROOKFIELD Ward 11,13,5,5
WAUKESHA,City of BROOKFIELD Ward 12,13,5,5
WAUKESHA,City of BROOKFIELD Ward 13,13,5,5
WAUKESHA,City of BROOKFIELD Ward 14,13,5,5
WAUKESHA,City of BROOKFIELD Ward 15,13,5,5
WAUKESHA,City of BROOKFIELD Ward 16,13,5,5
WAUKESHA,City of BROOKFIELD Ward 17,13,5,5
WAUKESHA,City of BROOKFIELD Ward 18,13,5,5
WAUKESHA,City of BROOKFIELD Ward 19,13,5,5
WAUKESHA,City of BROOKFIELD Ward 2,13,5,5
WAUKESHA,City of BROOKFIELD Ward 20,13,5,5
WAUKESHA,City of BROOKFIELD Ward 21,13,5,5
WAUKESHA,City of BROOKFIELD Ward 3,13,5,5
WAUKESHA,City of BROOKFIELD Ward 4,13,5,5
WAUKESHA,City of BROOKFIELD Ward 5,13,5,5
WAUKESHA,City of BROOKFIELD Ward 6,13,5,5
WAUKESHA,City of BROOKFIELD Ward 7,13,5,5
WAUKESHA,City of BROOKFIELD Ward 8,13,5,5
WAUKESHA,City of BROOKFIELD Ward 9,13,5,5
WAUKESHA,"Town of BROOKFIELD Wards 1-2,9-11",13,5,5
WAUKESHA,Town of BROOKFIELD Wards 3-8,13,5,5
WAUKESHA,Village of ELM GROVE Wards 1-4,13,5,5
WAUKESHA,Village of ELM GROVE Wards 5-8,13,5,5
MILWAUKEE,City of WAUWATOSA Ward 1,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 12A,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 13,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 14,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 15,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 16,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 17,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 18,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 20B,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 21A,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 22,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 23,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 24B,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 2A,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 4B,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 5,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 6A,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 7,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 8,14,5,4
MILWAUKEE,City of WAUWATOSA Ward 9A,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 10,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 11,14,5,5
MILWAUKEE,City of WEST ALLIS Ward 12,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 13,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 14,14,5,5
MILWAUKEE,City of WEST ALLIS Ward 18,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 22,14,5,5
MILWAUKEE,City of WEST ALLIS Ward 23,14,5,5
MILWAUKEE,City of WEST ALLIS Ward 6,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 7,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 8,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 9,14,5,4
MILWAUKEE,City of WEST ALLIS Ward 15,15,5,5
MILWAUKEE,City of WEST ALLIS Ward 19,15,5,4
MILWAUKEE,City of WEST ALLIS Ward 20,15,5,5
MILWAUKEE,City of WEST ALLIS Ward 21,15,5,5
MILWAUKEE,City of WEST ALLIS Ward 24,15,5,5
MILWAUKEE,City of WEST ALLIS Ward 25,15,5,5
MILWAUKEE,City of WEST ALLIS Ward 26,15,5,5
WAUKESHA,City of NEW BERLIN Ward 1,15,5,5
WAUKESHA,City of NEW BERLIN Ward 10,15,5,5
WAUKESHA,City of NEW BERLIN Ward 11,15,5,5
WAUKESHA,City of NEW BERLIN Ward 12,15,5,5
WAUKESHA,City of NEW BERLIN Ward 13,15,5,5
WAUKESHA,City of NEW BERLIN Ward 14,15,5,5
WAUKESHA,City of NEW BERLIN Ward 15,15,5,5
WAUKESHA,City of NEW BERLIN Ward 16,15,5,5
WAUKESHA,City of NEW BERLIN Ward 17,15,5,5
WAUKESHA,City of NEW BERLIN Ward 18,15,5,5
WAUKESHA,City of NEW BERLIN Ward 19,15,5,5
